K 18F 18.2F 18.4F 18.6F 18.8F 19F 19.2F 19.4F 19.6F 19.8F 20F 20.2F 20.4F 20.6F 20.8F 21F 21.2F 21.4F 21.6F 21.8F 22F 22.2F 22.4F 22.6F 22.8F 23F 23.2F 23.4F 23.6F 23.8F 24F 24.2F 24.4F 24.6F 24.8F 25F 25.2F 25.4F 25.6F 25.8F 26F 26.2F 26.4F 26.6F 26.8F 27F 27.2F 
3.12625 0.814434 0.826441 0.839756 0.854548 0.871011 0.889355 0.909813 0.932631 0.958061 0.983246 0.99725 0.999257 0.987597 0.959795 0.913 0.844391 0.751743 0.634186 0.493169 0.333478 0.164433 0.0128874 0.0990002 0.274749 0.439081 0.587411 0.713524 0.814916 0.891748 0.945873 0.979956 0.996903 0.999348 0.989297 0.967236 0.940828 0.917121 0.895864 0.876808 0.859715 0.844366 0.830561 0.818124 0.806895 0.796736 0.787524 0.779153 
3.20641 0.809723 0.821911 0.835435 0.850471 0.867218 0.885897 0.906749 0.930033 0.956014 0.981856 0.996641 0.999533 0.988829 0.961998 0.916112 0.848243 0.756041 0.638512 0.49702 0.336347 0.165936 0.0130081 0.0999168 0.277174 0.442643 0.59163 0.717884 0.818962 0.895141 0.948402 0.981524 0.997502 0.999032 0.98816 0.965399 0.938406 0.914205 0.892531 0.873121 0.855727 0.840121 0.826096 0.813468 0.802074 0.791772 0.782436 0.773955 
3.28657 0.805017 0.81738 0.831107 0.846381 0.863406 0.882412 0.90365 0.927391 0.953916 0.980408 0.995971 0.999746 0.99 0.964149 0.919186 0.852076 0.76034 0.642856 0.500899 0.339245 0.167456 0.0131303 0.100844 0.279624 0.446233 0.595871 0.722251 0.822996 0.898503 0.950883 0.983034 0.998038 0.998653 0.986965 0.963508 0.935938 0.911251 0.889168 0.869411 0.851724 0.835867 0.821627 0.808815 0.797263 0.786823 0.777366 0.76878 
3.36673 0.800317 0.81285 0.826774 0.842278 0.859574 0.878899 0.900515 0.924706 0.951767 0.978903 0.995238 0.999895 0.99111 0.966248 0.922222 0.855888 0.764638 0.647218 0.504807 0.342171 0.168994 0.0132539 0.101782 0.282099 0.449854 0.600134 0.726623 0.827015 0.901831 0.953316 0.984486 0.998511 0.998211 0.985709 0.961563 0.933424 0.90826 0.885774 0.865679 0.847705 0.831605 0.817158 0.804167 0.792461 0.781888 0.772316 0.763629 
3.44689 0.795624 0.80832 0.822435 0.838163 0.855722 0.875359 0.897346 0.921979 0.949567 0.97734 0.994442 0.99998 0.992159 0.968293 0.925217 0.859678 0.768934 0.651596 0.508742 0.345124 0.170548 0.0133789 0.10273 0.284599 0.453503 0.604419 0.731001 0.83102 0.905125 0.9557 0.985878 0.99892 0.997706 0.984394 0.959566 0.930865 0.90523 0.882352 0.861926 0.843672 0.827335 0.812686 0.799524 0.78767 0.776968 0.767285 0.758501 
3.52705 0.790937 0.803791 0.818091 0.834036 0.851852 0.871793 0.894143 0.919209 0.947317 0.97572 0.993583 1 0.993145 0.970284 0.928171 0.863444 0.773227 0.65599 0.512704 0.348106 0.17212 0.0135055 0.10369 0.287124 0.457181 0.608725 0.735383 0.835008 0.908383 0.958033 0.987209 0.999264 0.997136 0.983019 0.957516 0.92826 0.902165 0.8789 0.858151 0.839625 0.823059 0.808214 0.794885 0.782888 0.772063 0.762273 0.753397 
3.60721 0.786257 0.799263 0.813742 0.829898 0.847963 0.868202 0.890906 0.916398 0.945017 0.974042 0.992662 0.999955 0.994068 0.972218 0.931081 0.867186 0.777516 0.660398 0.516694 0.351115 0.173709 0.0136335 0.10466 0.289675 0.460888 0.61305 0.739768 0.838978 0.911604 0.960313 0.988479 0.999544 0.996503 0.981585 0.955413 0.925612 0.899063 0.87542 0.854356 0.835565 0.818775 0.803742 0.790251 0.778116 0.767174 0.757281 0.748316 
3.68737 0.781584 0.794737 0.809389 0.825749 0.844057 0.864585 0.887636 0.913545 0.942668 0.972306 0.991677 0.999844 0.994927 0.974094 0.933947 0.870901 0.7818 0.664821 0.52071 0.354152 0.175315 0.013763 0.105642 0.292252 0.464624 0.617396 0.744155 0.84293 0.914787 0.96254 0.989687 0.999757 0.995805 0.980092 0.953258 0.922919 0.895925 0.871913 0.850541 0.831492 0.814486 0.799269 0.785623 0.773356 0.762299 0.752309 0.743259 
3.76754 0.776919 0.790214 0.805033 0.821591 0.840134 0.860944 0.884334 0.910651 0.940269 0.970514 0.99063 0.999666 0.995721 0.975913 0.936767 0.874588 0.786077 0.669257 0.524752 0.357218 0.176939 0.013894 0.106634 0.294854 0.468388 0.62176 0.748542 0.846861 0.917929 0.964713 0.990832 0.999905 0.995043 0.978539 0.951052 0.920183 0.892752 0.868378 0.846706 0.827407 0.81019 0.794797 0.781001 0.768606 0.757441 0.747356 0.738225 
3.8477 0.772261 0.785693 0.800673 0.817423 0.836195 0.857279 0.880999 0.907717 0.937822 0.968665 0.989519 0.999423 0.996449 0.977672 0.93954 0.878246 0.790346 0.673706 0.52882 0.360311 0.178581 0.0140265 0.107638 0.297481 0.47218 0.626143 0.752929 0.850769 0.921031 0.966829 0.991912 0.999986 0.994216 0.976927 0.948793 0.917404 0.889544 0.864817 0.842852 0.82331 0.80589 0.790326 0.776386 0.763868 0.752598 0.742424 0.733216 
