K 21F 21.1F 21.2F 21.3F 21.4F 21.5F 21.6F 21.7F 21.8F 21.9F 22F 22.1F 22.2F 22.3F 22.4F 22.5F 22.6F 22.7F 22.8F 22.9F 
3.04609 0.840521 0.797039 0.747446 0.691696 0.629878 0.562274 0.489346 0.411807 0.330636 0.247121 0.162946 0.0687067 0.0127681 0.0226815 0.0980941 0.188162 0.27235 0.355331 0.435549 0.511806 
3.12625 0.844391 0.801167 0.751743 0.696057 0.634186 0.566403 0.493169 0.415197 0.333478 0.249319 0.164433 0.0693439 0.0128874 0.0228931 0.0990002 0.189867 0.274749 0.358349 0.439081 0.515734 
3.20641 0.848243 0.805288 0.756041 0.700428 0.638512 0.570558 0.49702 0.418616 0.336347 0.251541 0.165936 0.0699886 0.0130081 0.0231073 0.0999168 0.191591 0.277174 0.361394 0.442643 0.519689 
3.28657 0.852076 0.809398 0.76034 0.704809 0.642856 0.574737 0.500899 0.422065 0.339245 0.253786 0.167456 0.0706408 0.0131303 0.023324 0.100844 0.193334 0.279624 0.364469 0.446233 0.523672 
3.36673 0.855888 0.813498 0.764638 0.709199 0.647218 0.578939 0.504807 0.425544 0.342171 0.256055 0.168994 0.0713005 0.0132539 0.0235433 0.101782 0.195096 0.282099 0.367572 0.449854 0.527681 
3.44689 0.859678 0.817586 0.768934 0.713597 0.651596 0.583165 0.508742 0.429051 0.345124 0.258347 0.170548 0.0719679 0.0133789 0.0237651 0.10273 0.196878 0.284599 0.370704 0.453503 0.531717 
3.52705 0.863444 0.821661 0.773227 0.718002 0.65599 0.587413 0.512704 0.432588 0.348106 0.260663 0.17212 0.072643 0.0135055 0.0239895 0.10369 0.198679 0.287124 0.373864 0.457181 0.535779 
3.60721 0.867186 0.825721 0.777516 0.722412 0.660398 0.591683 0.516694 0.436154 0.351115 0.263003 0.173709 0.0733259 0.0136335 0.0242166 0.10466 0.200499 0.289675 0.377053 0.460888 0.539868 
3.68737 0.870901 0.829765 0.7818 0.726828 0.664821 0.595976 0.52071 0.439748 0.354152 0.265367 0.175315 0.0740166 0.013763 0.0244463 0.105642 0.202339 0.292252 0.380271 0.464624 0.543981 
3.76754 0.874588 0.833791 0.786077 0.731247 0.669257 0.600289 0.524752 0.443372 0.357218 0.267756 0.176939 0.0747151 0.013894 0.0246786 0.106634 0.204199 0.294854 0.383517 0.468388 0.54812 
3.8477 0.878246 0.837799 0.790346 0.73567 0.673706 0.604622 0.52882 0.447024 0.360311 0.270168 0.178581 0.0754217 0.0140265 0.0249137 0.107638 0.206079 0.297481 0.386791 0.47218 0.552283 
3.92786 0.881874 0.841787 0.794606 0.740093 0.678166 0.608976 0.532914 0.450704 0.363432 0.272605 0.18024 0.0761362 0.0141606 0.0251514 0.108653 0.207979 0.300135 0.390095 0.476 0.556471 
4.00802 0.88547 0.845753 0.798856 0.744518 0.682637 0.613348 0.537034 0.454413 0.366582 0.275066 0.181917 0.0768588 0.0142962 0.0253919 0.109679 0.209899 0.302814 0.393426 0.479847 0.560682 
4.08818 0.889033 0.849697 0.803095 0.748942 0.687117 0.617739 0.541178 0.45815 0.369759 0.277551 0.183613 0.0775895 0.0144334 0.0256352 0.110717 0.211839 0.305519 0.396786 0.483723 0.564916 
4.16834 0.892561 0.853617 0.80732 0.753365 0.691607 0.622149 0.545347 0.461915 0.372965 0.280061 0.185326 0.0783284 0.0145721 0.0258812 0.111766 0.213799 0.30825 0.400175 0.487625 0.569174 
4.2485 0.896053 0.857512 0.811532 0.757785 0.696105 0.626575 0.549539 0.465708 0.376198 0.282596 0.187058 0.0790756 0.0147125 0.02613 0.112826 0.21578 0.311007 0.403592 0.491555 0.573453 
4.32866 0.899508 0.86138 0.815728 0.762201 0.70061 0.631018 0.553756 0.469529 0.37946 0.285156 0.188808 0.0798312 0.0148544 0.0263817 0.113899 0.217782 0.313791 0.407037 0.495512 0.577755 
4.40882 0.902924 0.86522 0.819908 0.766613 0.705121 0.635477 0.557996 0.473376 0.382749 0.287741 0.190576 0.0805951 0.014998 0.0266362 0.114983 0.219804 0.3166 0.41051 0.499495 0.582078 
4.48898 0.906301 0.869031 0.82407 0.771018 0.709638 0.639951 0.562258 0.477251 0.386066 0.29035 0.192364 0.0813676 0.0151432 0.0268936 0.116079 0.221847 0.319436 0.414011 0.503504 0.586421 
4.56914 0.909636 0.872811 0.828213 0.775417 0.714159 0.64444 0.566543 0.481153 0.389412 0.292984 0.19417 0.0821485 0.01529 0.0271539 0.117187 0.223911 0.322298 0.417541 0.507539 0.590785 
4.6493 0.912928 0.876558 0.832336 0.779807 0.718684 0.648943 0.57085 0.485082 0.392785 0.295644 0.195994 0.0829382 0.0154385 0.0274171 0.118308 0.225996 0.325186 0.421098 0.5116 0.595169 
4.72946 0.916177 0.880273 0.836437 0.784188 0.723211 0.653458 0.575178 0.489038 0.396186 0.298329 0.197838 0.0837364 0.0155887 0.0276833 0.11944 0.228102 0.328101 0.424684 0.515686 0.599572 
4.80962 0.91938 0.883953 0.840515 0.788558 0.727739 0.657986 0.579527 0.493019 0.399615 0.301039 0.199701 0.0845435 0.0157405 0.0279524 0.120585 0.23023 0.331042 0.428297 0.519798 0.603994 
4.88978 0.922537 0.887597 0.844568 0.792916 0.732268 0.662525 0.583896 0.497027 0.403072 0.303775 0.201583 0.0853594 0.0158941 0.0282246 0.121742 0.232379 0.33401 0.431938 0.523934 0.608433 
4.96994 0.925647 0.891203 0.848596 0.797261 0.736796 0.667076 0.588286 0.501061 0.406556 0.306536 0.203485 0.0861842 0.0160494 0.0284998 0.122911 0.234549 0.337004 0.435606 0.528094 0.61289 
5.0501 0.928707 0.894771 0.852598 0.801592 0.741322 0.671636 0.592694 0.50512 0.410069 0.309323 0.205406 0.087018 0.0162064 0.0287781 0.124093 0.236742 0.340025 0.439302 0.532279 0.617364 
5.13026 0.931717 0.898299 0.856571 0.805907 0.745846 0.676205 0.597122 0.509204 0.413608 0.312135 0.207346 0.0878609 0.0163652 0.0290595 0.125288 0.238956 0.343073 0.443026 0.536487 0.621854 
5.21042 0.934676 0.901786 0.860514 0.810206 0.750366 0.680782 0.601567 0.513313 0.417176 0.314973 0.209307 0.0887129 0.0165257 0.029344 0.126495 0.241191 0.346147 0.446776 0.540719 0.62636 
5.29058 0.937582 0.90523 0.864427 0.814486 0.754882 0.685367 0.60603 0.517447 0.420771 0.317837 0.211287 0.0895741 0.0166881 0.0296317 0.127715 0.243449 0.349249 0.450554 0.544973 0.63088 
5.37074 0.940435 0.908631 0.868308 0.818748 0.759391 0.689959 0.610511 0.521605 0.424393 0.320726 0.213287 0.0904446 0.0168522 0.0299225 0.128949 0.245729 0.352377 0.454358 0.54925 0.635415 
5.4509 0.943232 0.911986 0.872155 0.822989 0.763893 0.694556 0.615007 0.525787 0.428043 0.323642 0.215307 0.0913245 0.0170182 0.0302166 0.130195 0.248032 0.355531 0.45819 0.553549 0.639963 
5.53106 0.945974 0.915295 0.875968 0.827209 0.768388 0.699158 0.61952 0.529993 0.431719 0.326583 0.217348 0.0922139 0.017186 0.0305139 0.131454 0.250357 0.358713 0.462048 0.55787 0.644524 
5.61122 0.948658 0.918557 0.879744 0.831405 0.772872 0.703764 0.624048 0.534222 0.435423 0.329551 0.219409 0.0931128 0.0173557 0.0308145 0.132727 0.252704 0.361922 0.465933 0.562212 0.649097 
5.69138 0.951284 0.921769 0.883484 0.835578 0.777347 0.708372 0.62859 0.538474 0.439154 0.332545 0.22149 0.0940213 0.0175272 0.0311183 0.134013 0.255074 0.365157 0.469843 0.566575 0.653681 
5.77154 0.95385 0.924932 0.887185 0.839725 0.78181 0.712983 0.633146 0.542749 0.442912 0.335565 0.223592 0.0949395 0.0177007 0.0314255 0.135313 0.257467 0.36842 0.47378 0.570959 0.658276 
5.8517 0.956357 0.928043 0.890846 0.843845 0.78626 0.717595 0.637716 0.547045 0.446696 0.338611 0.225715 0.0958675 0.017876 0.0317361 0.136626 0.259882 0.371709 0.477743 0.575362 0.662881 
5.93186 0.958801 0.931102 0.894466 0.847937 0.790697 0.722207 0.642297 0.551364 0.450508 0.341683 0.227858 0.0968053 0.0180533 0.0320501 0.137953 0.262321 0.375026 0.481731 0.579785 0.667495 
6.01202 0.961184 0.934107 0.898043 0.852 0.795118 0.726818 0.646891 0.555703 0.454345 0.344782 0.230023 0.0977531 0.0182325 0.0323675 0.139294 0.264782 0.378369 0.485745 0.584226 0.672117 
6.09218 0.963503 0.937058 0.901577 0.856032 0.799523 0.731428 0.651496 0.560064 0.458209 0.347907 0.232209 0.0987109 0.0184137 0.0326883 0.140649 0.267267 0.381739 0.489784 0.588686 0.676746 
6.17234 0.965757 0.939953 0.905066 0.860033 0.803911 0.736034 0.656111 0.564445 0.462099 0.351059 0.234416 0.0996789 0.0185969 0.0330127 0.142017 0.269775 0.385136 0.493849 0.593164 0.681382 
6.25251 0.967947 0.942791 0.908509 0.864001 0.80828 0.740636 0.660735 0.568846 0.466015 0.354237 0.236644 0.100657 0.0187821 0.0333406 0.1434 0.272307 0.38856 0.497937 0.597659 0.686024 
6.33267 0.97007 0.94557 0.911904 0.867934 0.812629 0.745234 0.665368 0.573267 0.469957 0.357441 0.238894 0.101646 0.0189693 0.033672 0.144797 0.274862 0.392011 0.502051 0.60217 0.690671 
6.41283 0.972126 0.948291 0.915251 0.871831 0.816958 0.749826 0.670009 0.577707 0.473924 0.360672 0.241166 0.102644 0.0191585 0.034007 0.146209 0.277441 0.395489 0.506188 0.606698 0.695321 
6.49299 0.974114 0.950951 0.918548 0.875692 0.821264 0.75441 0.674658 0.582165 0.477917 0.36393 0.243459 0.103654 0.0193498 0.0343457 0.147635 0.280043 0.398993 0.51035 0.611241 0.699975 
6.57315 0.976033 0.95355 0.921795 0.879514 0.825546 0.758986 0.679313 0.586642 0.481935 0.367214 0.245774 0.104674 0.0195432 0.034688 0.149075 0.28267 0.402525 0.514535 0.6158 0.704631 
6.65331 0.977883 0.956087 0.924989 0.883297 0.829804 0.763554 0.683973 0.591136 0.485978 0.370524 0.248111 0.105704 0.0197387 0.035034 0.150531 0.28532 0.406083 0.518743 0.620372 0.709288 
6.73347 0.979663 0.95856 0.928129 0.88704 0.834036 0.76811 0.688638 0.595646 0.490046 0.373861 0.25047 0.106745 0.0199364 0.0353838 0.152001 0.287994 0.409667 0.522974 0.624959 0.713946 
6.81363 0.981371 0.96097 0.931215 0.89074 0.83824 0.772656 0.693306 0.600174 0.494138 0.377225 0.252852 0.107797 0.0201361 0.0357373 0.153486 0.290693 0.413279 0.527229 0.629558 0.718603 
6.89379 0.983009 0.963314 0.934246 0.894398 0.842417 0.777189 0.697978 0.604717 0.498254 0.380615 0.255256 0.10886 0.0203381 0.0360946 0.154986 0.293416 0.416917 0.531505 0.63417 0.723259 
6.97395 0.984573 0.965592 0.93722 0.898011 0.846563 0.781708 0.702652 0.609275 0.502395 0.384032 0.257682 0.109934 0.0205422 0.0364558 0.156501 0.296163 0.420581 0.535803 0.638793 0.727912 
7.05411 0.986065 0.967803 0.940136 0.901578 0.850679 0.786213 0.707326 0.613849 0.506559 0.387475 0.260131 0.11102 0.0207485 0.0368209 0.158032 0.298935 0.424272 0.540123 0.643428 0.732561 
7.13427 0.987484 0.969947 0.942993 0.905098 0.854762 0.790701 0.712001 0.618436 0.510746 0.390945 0.262603 0.112116 0.0209571 0.0371898 0.159578 0.301731 0.427989 0.544464 0.648072 0.737206 
7.21443 0.988828 0.972022 0.945791 0.908571 0.858812 0.795173 0.716675 0.623036 0.514957 0.394441 0.265097 0.113224 0.0211679 0.0375627 0.161139 0.304552 0.431732 0.548826 0.652727 0.741845 
7.29459 0.990098 0.974028 0.948527 0.911994 0.862827 0.799626 0.721348 0.62765 0.519191 0.397964 0.267615 0.114343 0.021381 0.0379396 0.162716 0.307398 0.435502 0.553208 0.65739 0.746478 
7.37475 0.991293 0.975963 0.951202 0.915366 0.866807 0.80406 0.726018 0.632275 0.523447 0.401513 0.270156 0.115473 0.0215964 0.0383206 0.164309 0.310269 0.439297 0.557611 0.662061 0.751103 
7.45491 0.992413 0.977828 0.953813 0.918688 0.870749 0.808473 0.730684 0.636912 0.527725 0.405089 0.272719 0.116615 0.0218141 0.0387056 0.165918 0.313164 0.443119 0.562033 0.666739 0.75572 
7.53507 0.993456 0.979621 0.956361 0.921956 0.874653 0.812864 0.735345 0.64156 0.532025 0.408691 0.275306 0.117769 0.0220342 0.0390947 0.167543 0.316084 0.446966 0.566474 0.671424 0.760327 
7.61523 0.994424 0.981341 0.958844 0.925171 0.878517 0.817232 0.740001 0.646218 0.536346 0.412319 0.277917 0.118935 0.0222566 0.039488 0.169184 0.31903 0.450839 0.570933 0.676114 0.764923 
7.69539 0.995315 0.982989 0.961261 0.92833 0.88234 0.821576 0.74465 0.650885 0.540689 0.415973 0.280551 0.120112 0.0224814 0.0398854 0.170841 0.322 0.454737 0.575411 0.68081 0.769507 
7.77555 0.996129 0.984564 0.963611 0.931433 0.886122 0.825895 0.749291 0.65556 0.545052 0.419654 0.283208 0.121302 0.0227086 0.0402871 0.172515 0.324996 0.45866 0.579907 0.685509 0.774078 
7.85571 0.996865 0.986064 0.965894 0.93448 0.889859 0.830187 0.753924 0.660244 0.549436 0.423361 0.28589 0.122503 0.0229383 0.0406931 0.174205 0.328017 0.462609 0.584419 0.690211 0.778635 
7.93587 0.997525 0.98749 0.968108 0.937468 0.893553 0.834451 0.758547 0.664934 0.553839 0.427093 0.288595 0.123717 0.0231704 0.0411033 0.175911 0.331063 0.466583 0.588949 0.694916 0.783177 
8.01603 0.998107 0.988841 0.970254 0.940396 0.897201 0.838686 0.763159 0.669631 0.558262 0.430852 0.291324 0.124943 0.023405 0.0415179 0.177635 0.334135 0.470581 0.593494 0.699622 0.787702 
8.09619 0.998611 0.990116 0.972329 0.943264 0.900801 0.842891 0.767759 0.674334 0.562704 0.434636 0.294077 0.126181 0.0236422 0.0419369 0.179375 0.337232 0.474604 0.598055 0.704329 0.79221 
8.17635 0.999037 0.991315 0.974334 0.946071 0.904354 0.847065 0.772345 0.679041 0.567165 0.438445 0.296854 0.127432 0.0238818 0.0423604 0.181132 0.340355 0.478652 0.602631 0.709035 0.796699 
8.25651 0.999386 0.992438 0.976268 0.948816 0.907857 0.851205 0.776918 0.683751 0.571643 0.442281 0.299655 0.128695 0.0241241 0.0427883 0.182907 0.343503 0.482723 0.607221 0.71374 0.801169 
8.33667 0.999656 0.993484 0.978129 0.951497 0.91131 0.855312 0.781475 0.688465 0.57614 0.446142 0.302481 0.129972 0.0243689 0.0432208 0.184698 0.346677 0.486819 0.611826 0.718443 0.805617 
8.41683 0.999849 0.994453 0.979918 0.954114 0.914712 0.859383 0.786016 0.693181 0.580653 0.450028 0.305331 0.131261 0.0246163 0.0436578 0.186507 0.349877 0.490938 0.616443 0.723142 0.810044 
8.49699 0.999963 0.995345 0.981634 0.956666 0.91806 0.863418 0.79054 0.697898 0.585183 0.453939 0.308206 0.132562 0.0248664 0.0440994 0.188334 0.353102 0.495081 0.621073 0.727837 0.814446 
8.57715 1 0.996159 0.983275 0.959151 0.921355 0.867416 0.795044 0.702616 0.58973 0.457875 0.311105 0.133877 0.0251191 0.0445457 0.190178 0.356353 0.499247 0.625715 0.732528 0.818825 
8.65731 0.999959 0.996895 0.984842 0.96157 0.924595 0.871375 0.799529 0.707333 0.594292 0.461836 0.314028 0.135205 0.0253745 0.0449967 0.192039 0.359629 0.503436 0.630369 0.737211 0.823178 
8.73747 0.99984 0.997553 0.986335 0.963921 0.927778 0.875293 0.803993 0.712049 0.598868 0.465821 0.316977 0.136546 0.0256327 0.0454524 0.193919 0.362931 0.507648 0.635033 0.741888 0.827503 
8.81764 0.999644 0.998133 0.987751 0.966203 0.930905 0.879171 0.808435 0.716762 0.60346 0.469831 0.31995 0.137901 0.0258936 0.0459129 0.195816 0.36626 0.511882 0.639707 0.746557 0.831801 
8.8978 0.999371 0.998635 0.989092 0.968416 0.933973 0.883006 0.812853 0.721472 0.608065 0.473866 0.322948 0.139269 0.0261573 0.0463783 0.197732 0.369613 0.516138 0.64439 0.751216 0.83607 
8.97796 0.99902 0.999058 0.990357 0.970559 0.936983 0.886797 0.817247 0.726177 0.612684 0.477924 0.325971 0.14065 0.0264237 0.0468486 0.199666 0.372993 0.520416 0.649082 0.755865 0.840308 
9.05812 0.998593 0.999403 0.991544 0.972631 0.939932 0.890544 0.821615 0.730878 0.617315 0.482006 0.329019 0.142045 0.0266931 0.0473237 0.201618 0.376398 0.524715 0.653782 0.760503 0.844514 
9.13828 0.998089 0.99967 0.992655 0.974632 0.942819 0.894244 0.825956 0.735572 0.621958 0.486112 0.332092 0.143454 0.0269652 0.0478039 0.203588 0.37983 0.529035 0.658488 0.765128 0.848687 
9.21844 0.99751 0.999858 0.993688 0.97656 0.945645 0.897898 0.830269 0.740259 0.626613 0.490241 0.33519 0.144876 0.0272403 0.0482891 0.205577 0.383286 0.533376 0.663201 0.76974 0.852826 
9.2986 0.996854 0.999968 0.994644 0.978415 0.948407 0.901503 0.834553 0.744937 0.631278 0.494393 0.338314 0.146313 0.0275183 0.0487794 0.207585 0.386769 0.537738 0.66792 0.774338 0.85693 
9.37876 0.996123 1 0.995522 0.980197 0.951106 0.905058 0.838807 0.749607 0.635953 0.498568 0.341462 0.147764 0.0277992 0.0492748 0.209612 0.390278 0.542119 0.672643 0.778919 0.860998 
9.45892 0.995317 0.999954 0.996321 0.981905 0.953739 0.908563 0.843029 0.754266 0.640638 0.502766 0.344636 0.149229 0.0280831 0.0497754 0.211657 0.393812 0.54652 0.67737 0.783484 0.865028 
9.53908 0.994437 0.99983 0.997043 0.983538 0.956306 0.912016 0.847218 0.758913 0.645332 0.506986 0.347835 0.150708 0.02837 0.0502812 0.213722 0.397371 0.55094 0.682101 0.788031 0.869018 
9.61924 0.993483 0.999628 0.997685 0.985096 0.958807 0.915417 0.851373 0.763548 0.650033 0.511228 0.351059 0.152201 0.0286599 0.0507923 0.215806 0.400957 0.555379 0.686833 0.79256 0.872969 
9.6994 0.992455 0.999348 0.99825 0.986578 0.96124 0.918763 0.855493 0.76817 0.654742 0.515491 0.354309 0.153709 0.0289529 0.0513087 0.217909 0.404568 0.559837 0.691567 0.797068 0.876879 
9.77956 0.991355 0.998992 0.998735 0.987984 0.963605 0.922054 0.859576 0.772777 0.659457 0.519777 0.357584 0.155232 0.029249 0.0518305 0.220031 0.408204 0.564312 0.696302 0.801554 0.880745 
9.85972 0.990182 0.998559 0.999143 0.989314 0.9659 0.92529 0.863622 0.777369 0.664178 0.524083 0.360885 0.156769 0.0295483 0.0523577 0.222173 0.411866 0.568805 0.701036 0.806019 0.884569 
9.93988 0.988938 0.998049 0.999471 0.990568 0.968126 0.928468 0.867629 0.781943 0.668904 0.52841 0.364211 0.158321 0.0298507 0.0528904 0.224335 0.415553 0.573314 0.705769 0.810459 0.888347 
10.02 0.987623 0.997463 0.999721 0.991744 0.970281 0.931587 0.871596 0.7865 0.673634 0.532757 0.367562 0.159889 0.0301563 0.0534287 0.226516 0.419266 0.577841 0.7105 0.814875 0.89208 
