T 21F 21.1F 21.2F 21.3F 21.4F 21.5F 21.6F 21.7F 21.8F 21.9F 22F 22.1F 22.2F 22.3F 22.4F 22.5F 22.6F 22.7F 22.8F 22.9F 
0.950594 0.726115 0.679108 0.628311 0.57441 0.522458 0.469685 0.413396 0.353925 0.291658 0.227035 0.160895 0.0938075 0.0252309 0.045819 0.11412 0.18069 0.246671 0.310653 0.372144 0.43072 
0.97561 0.727347 0.680348 0.629536 0.575598 0.523596 0.470757 0.414378 0.354794 0.292395 0.227621 0.161317 0.0940562 0.0252981 0.045941 0.114422 0.181162 0.247304 0.311431 0.373049 0.431731 
1.00063 0.72858 0.68159 0.630764 0.576789 0.524738 0.471832 0.415362 0.355667 0.293134 0.22821 0.161741 0.094306 0.0253656 0.0460634 0.114725 0.181636 0.247939 0.312212 0.373957 0.432745 
1.02564 0.729815 0.682834 0.631994 0.577983 0.525883 0.47291 0.41635 0.356542 0.293876 0.2288 0.162167 0.0945568 0.0254334 0.0461864 0.115029 0.182111 0.248576 0.312996 0.374868 0.433762 
1.05066 0.731052 0.68408 0.633227 0.57918 0.527031 0.473992 0.417342 0.35742 0.294621 0.229393 0.162594 0.0948086 0.0255014 0.0463099 0.115335 0.182589 0.249217 0.313782 0.375783 0.434783 
1.07567 0.73229 0.685328 0.634463 0.58038 0.528183 0.475077 0.418337 0.358302 0.295368 0.229989 0.163023 0.0950614 0.0255698 0.0464339 0.115642 0.183069 0.249859 0.314572 0.376701 0.435807 
1.10069 0.733529 0.686578 0.635701 0.581583 0.529337 0.476165 0.419335 0.359187 0.296119 0.230586 0.163454 0.0953153 0.0256384 0.0465584 0.11595 0.18355 0.250504 0.315365 0.377622 0.436834 
1.1257 0.734769 0.68783 0.636941 0.582788 0.530495 0.477257 0.420336 0.360075 0.296872 0.231186 0.163886 0.0955702 0.0257073 0.0466834 0.116259 0.184033 0.251152 0.316161 0.378546 0.437865 
1.15072 0.736011 0.689084 0.638184 0.583996 0.531656 0.478351 0.421341 0.360966 0.297628 0.231789 0.16432 0.0958262 0.0257765 0.046809 0.116569 0.184519 0.251802 0.316959 0.379473 0.438899 
1.17573 0.737255 0.69034 0.639429 0.585208 0.53282 0.47945 0.422348 0.36186 0.298387 0.232393 0.164756 0.0960832 0.025846 0.046935 0.116881 0.185006 0.252455 0.31776 0.380403 0.439936 
1.20075 0.738499 0.691598 0.640677 0.586422 0.533987 0.480551 0.42336 0.362757 0.299149 0.233 0.165194 0.0963412 0.0259157 0.0470616 0.117194 0.185495 0.25311 0.318565 0.381337 0.440976 
1.22577 0.739745 0.692858 0.641927 0.587638 0.535157 0.481656 0.424374 0.363658 0.299913 0.233609 0.165633 0.0966003 0.0259858 0.0471887 0.117508 0.185986 0.253767 0.319372 0.382274 0.44202 
1.25078 0.740992 0.694119 0.643179 0.588858 0.53633 0.482764 0.425392 0.364561 0.30068 0.234221 0.166074 0.0968604 0.0260561 0.0473163 0.117824 0.186479 0.254428 0.320182 0.383214 0.443067 
1.2758 0.74224 0.695383 0.644434 0.59008 0.537506 0.483875 0.426413 0.365468 0.30145 0.234835 0.166517 0.0971216 0.0261267 0.0474444 0.118141 0.186974 0.25509 0.320995 0.384157 0.444118 
1.30081 0.743489 0.696648 0.645691 0.591305 0.538685 0.484989 0.427437 0.366378 0.302223 0.235451 0.166962 0.0973838 0.0261976 0.047573 0.118459 0.187471 0.255755 0.321811 0.385103 0.445171 
1.32583 0.74474 0.697914 0.646951 0.592533 0.539868 0.486107 0.428465 0.367291 0.302999 0.23607 0.167408 0.0976471 0.0262688 0.0477022 0.118778 0.18797 0.256423 0.32263 0.386053 0.446228 
1.35084 0.745991 0.699183 0.648212 0.593763 0.541053 0.487228 0.429495 0.368207 0.303777 0.236691 0.167856 0.0979114 0.0263403 0.0478318 0.119099 0.188471 0.257093 0.323452 0.387006 0.447288 
1.37586 0.747244 0.700453 0.649476 0.594996 0.542241 0.488352 0.430529 0.369126 0.304559 0.237314 0.168306 0.0981768 0.0264121 0.047962 0.119421 0.188973 0.257765 0.324277 0.387962 0.448352 
1.40088 0.748497 0.701725 0.650742 0.596232 0.543433 0.489479 0.431567 0.370048 0.305343 0.23794 0.168758 0.0984432 0.0264841 0.0480927 0.119744 0.189478 0.25844 0.325105 0.388921 0.449419 
1.42589 0.749752 0.702998 0.65201 0.59747 0.544627 0.49061 0.432607 0.370974 0.30613 0.238568 0.169211 0.0987107 0.0265565 0.048224 0.120068 0.189985 0.259118 0.325935 0.389883 0.450488 
