T 18F 19F 20F 21F 23F 24F 25F 26F 27F 18000F 19000F 20000F 21000F 23000F 24000F 25000F 26000F 27000F 
1.55097 0.00549816 0.00815747 0.012494 0.0187863 0.0251427 0.0209841 0.0164216 0.0130858 0.0108892 0.00585794 0.00855833 0.0129382 0.019276 0.0257301 0.0216237 0.0171156 0.0138364 0.0116986 
1.57598 0.00548973 0.00815066 0.012497 0.0188176 0.0252001 0.0210027 0.0164153 0.0130694 0.0108696 0.00585119 0.0085534 0.0129433 0.0193096 0.0257902 0.0216453 0.0171126 0.0138236 0.0116828 
1.601 0.00548128 0.00814382 0.0125 0.0188489 0.0252576 0.0210213 0.0164089 0.0130531 0.01085 0.00584444 0.00854845 0.0129484 0.0193432 0.0258505 0.0216669 0.0171094 0.0138108 0.0116671 
1.62602 0.00547284 0.00813695 0.0125029 0.0188802 0.0253152 0.0210397 0.0164024 0.0130367 0.0108304 0.0058377 0.00854348 0.0129534 0.0193769 0.025911 0.0216884 0.0171062 0.0137979 0.0116513 
1.65103 0.00546439 0.00813004 0.0125058 0.0189116 0.0253731 0.0210582 0.0163959 0.0130202 0.0108108 0.00583097 0.00853849 0.0129584 0.0194105 0.0259716 0.0217099 0.017103 0.0137851 0.0116356 
1.67605 0.00545593 0.00812311 0.0125086 0.0189429 0.025431 0.0210765 0.0163892 0.0130038 0.0107913 0.00582424 0.00853347 0.0129633 0.0194442 0.0260324 0.0217313 0.0170997 0.0137722 0.01162 
1.70106 0.00544747 0.00811614 0.0125113 0.0189743 0.0254891 0.0210948 0.0163825 0.0129873 0.0107717 0.00581751 0.00852843 0.0129681 0.019478 0.0260933 0.0217526 0.0170963 0.0137593 0.0116043 
1.72608 0.00543901 0.00810914 0.012514 0.0190057 0.0255474 0.0211129 0.0163757 0.0129708 0.0107522 0.00581079 0.00852337 0.012973 0.0195117 0.0261544 0.0217739 0.0170929 0.0137465 0.0115887 
1.75109 0.00543055 0.0081021 0.0125166 0.0190371 0.0256058 0.0211311 0.0163688 0.0129542 0.0107327 0.00580408 0.00851829 0.0129777 0.0195455 0.0262157 0.0217951 0.0170893 0.0137336 0.0115731 
1.77611 0.00542208 0.00809504 0.0125191 0.0190685 0.0256644 0.0211491 0.0163618 0.0129376 0.0107132 0.00579737 0.00851319 0.0129824 0.0195793 0.0262771 0.0218163 0.0170858 0.0137207 0.0115576 
1.80113 0.0054136 0.00808794 0.0125216 0.0190999 0.0257231 0.0211671 0.0163548 0.012921 0.0106937 0.00579067 0.00850807 0.0129871 0.0196132 0.0263387 0.0218374 0.0170821 0.0137077 0.0115421 
1.82614 0.00540513 0.00808081 0.012524 0.0191314 0.025782 0.021185 0.0163476 0.0129044 0.0106742 0.00578397 0.00850292 0.0129917 0.019647 0.0264005 0.0218585 0.0170784 0.0136948 0.0115266 
1.85116 0.00539665 0.00807365 0.0125263 0.0191628 0.025841 0.0212028 0.0163404 0.0128877 0.0106547 0.00577728 0.00849775 0.0129962 0.0196809 0.0264624 0.0218794 0.0170747 0.0136819 0.0115111 
1.87617 0.00538816 0.00806646 0.0125286 0.0191943 0.0259001 0.0212205 0.0163331 0.012871 0.0106352 0.00577059 0.00849257 0.0130007 0.0197148 0.0265245 0.0219004 0.0170709 0.0136689 0.0114957 
1.90119 0.00537967 0.00805924 0.0125308 0.0192257 0.0259594 0.0212381 0.0163258 0.0128543 0.0106158 0.00576392 0.00848736 0.0130052 0.0197487 0.0265868 0.0219212 0.017067 0.013656 0.0114803 
1.9262 0.00537118 0.00805198 0.0125329 0.0192572 0.0260188 0.0212557 0.0163183 0.0128376 0.0105963 0.00575724 0.00848213 0.0130096 0.0197826 0.0266492 0.021942 0.017063 0.013643 0.011465 
1.95122 0.00536269 0.00804469 0.012535 0.0192886 0.0260784 0.0212732 0.0163107 0.0128208 0.0105769 0.00575058 0.00847688 0.0130139 0.0198166 0.0267117 0.0219628 0.017059 0.0136301 0.0114497 
