T 18F 19F 20F 21F 23F 24F 25F 26F 27F 18000F 19000F 20000F 21000F 23000F 24000F 25000F 26000F 27000F 
1.87617 0.0052473 0.00790951 0.0123547 0.0190025 0.0256701 0.0209701 0.0160614 0.0125771 0.0103183 0.00577944 0.00850243 0.0130117 0.0197268 0.026539 0.0219161 0.0170879 0.0136874 0.0115156 
1.90119 0.00523982 0.00790341 0.0123581 0.0190354 0.0257311 0.0209895 0.016056 0.0125625 0.0103011 0.00576815 0.00849208 0.0130104 0.0197545 0.0265937 0.0219288 0.0170751 0.0136648 0.0114899 
1.9262 0.00523233 0.00789727 0.0123615 0.0190682 0.0257921 0.0210089 0.0160504 0.0125479 0.0102839 0.00575688 0.00848172 0.0130091 0.0197821 0.0266486 0.0219414 0.0170623 0.0136423 0.0114642 
1.95122 0.00522483 0.00789109 0.0123648 0.019101 0.0258533 0.0210281 0.0160448 0.0125332 0.0102667 0.00574562 0.00847135 0.0130078 0.0198098 0.0267036 0.021954 0.0170494 0.0136197 0.0114385 
1.97624 0.00521732 0.00788487 0.0123681 0.0191338 0.0259147 0.0210473 0.0160391 0.0125184 0.0102495 0.00573438 0.00846098 0.0130064 0.0198376 0.0267589 0.0219665 0.0170365 0.0135972 0.0114129 
2.00125 0.0052098 0.00787861 0.0123712 0.0191666 0.0259762 0.0210663 0.0160333 0.0125036 0.0102323 0.00572316 0.00845059 0.013005 0.0198653 0.0268143 0.021979 0.0170235 0.0135747 0.0113874 
2.02627 0.00520227 0.00787231 0.0123743 0.0191994 0.0260378 0.0210853 0.0160274 0.0124888 0.0102151 0.00571195 0.0084402 0.0130035 0.0198931 0.0268699 0.0219914 0.0170105 0.0135522 0.0113619 
2.05128 0.00519473 0.00786597 0.0123773 0.0192322 0.0260995 0.0211041 0.0160213 0.0124739 0.0101979 0.00570076 0.0084298 0.013002 0.019921 0.0269257 0.0220038 0.0169975 0.0135297 0.0113365 
2.0763 0.00518717 0.0078596 0.0123802 0.019265 0.0261613 0.0211229 0.0160152 0.012459 0.0101807 0.00568959 0.00841939 0.0130005 0.0199488 0.0269817 0.0220161 0.0169844 0.0135072 0.0113112 
2.10131 0.00517961 0.00785318 0.012383 0.0192977 0.0262233 0.0211416 0.016009 0.012444 0.0101635 0.00567844 0.00840897 0.0129989 0.0199767 0.0270378 0.0220284 0.0169713 0.0134848 0.0112859 
2.12633 0.00517204 0.00784672 0.0123858 0.0193305 0.0262855 0.0211601 0.0160027 0.012429 0.0101463 0.0056673 0.00839854 0.0129972 0.0200046 0.0270941 0.0220406 0.0169581 0.0134624 0.0112606 
2.15134 0.00516445 0.00784022 0.0123885 0.0193632 0.0263477 0.0211786 0.0159963 0.012414 0.010129 0.00565618 0.00838811 0.0129955 0.0200325 0.0271506 0.0220528 0.0169449 0.0134399 0.0112354 
2.17636 0.00515686 0.00783369 0.0123911 0.019396 0.0264101 0.0211969 0.0159898 0.0123989 0.0101118 0.00564508 0.00837766 0.0129938 0.0200605 0.0272072 0.0220649 0.0169316 0.0134175 0.0112103 
2.20138 0.00514926 0.00782711 0.0123936 0.0194287 0.0264726 0.0212152 0.0159832 0.0123838 0.0100946 0.00563399 0.0083672 0.012992 0.0200885 0.027264 0.0220769 0.0169183 0.0133951 0.0111852 
2.22639 0.00514164 0.0078205 0.012396 0.0194614 0.0265352 0.0212333 0.0159765 0.0123686 0.0100773 0.00562292 0.00835674 0.0129902 0.0201165 0.027321 0.0220889 0.0169049 0.0133727 0.0111602 
2.25141 0.00513402 0.00781384 0.0123984 0.0194941 0.026598 0.0212513 0.0159697 0.0123534 0.0100601 0.00561187 0.00834626 0.0129883 0.0201445 0.0273781 0.0221008 0.0168915 0.0133504 0.0111353 
2.27642 0.00512639 0.00780715 0.0124007 0.0195268 0.0266608 0.0212693 0.0159628 0.0123381 0.0100429 0.00560083 0.00833577 0.0129864 0.0201725 0.0274355 0.0221127 0.016878 0.013328 0.0111104 
2.30144 0.00511875 0.00780042 0.0124029 0.0195594 0.0267238 0.0212871 0.0159558 0.0123228 0.0100256 0.00558981 0.00832528 0.0129845 0.0202006 0.027493 0.0221245 0.0168645 0.0133057 0.0110855 
2.32645 0.0051111 0.00779365 0.012405 0.019592 0.026787 0.0213048 0.0159487 0.0123075 0.0100084 0.00557881 0.00831477 0.0129824 0.0202286 0.0275506 0.0221363 0.016851 0.0132833 0.0110607 
2.35147 0.00510344 0.00778684 0.0124071 0.0196247 0.0268502 0.0213224 0.0159416 0.0122921 0.00999112 0.00556782 0.00830425 0.0129804 0.0202567 0.0276084 0.0221479 0.0168373 0.013261 0.011036 
2.37649 0.00509577 0.00778 0.012409 0.0196573 0.0269136 0.0213399 0.0159343 0.0122767 0.00997387 0.00555685 0.00829373 0.0129783 0.0202848 0.0276664 0.0221596 0.0168237 0.0132387 0.0110113 
2.4015 0.0050881 0.00777312 0.0124109 0.0196898 0.0269771 0.0213572 0.0159269 0.0122613 0.00995661 0.00554589 0.00828319 0.0129761 0.0203129 0.0277246 0.0221711 0.01681 0.0132164 0.0109867 
2.42652 0.00508041 0.0077662 0.0124127 0.0197224 0.0270407 0.0213745 0.0159194 0.0122458 0.00993936 0.00553495 0.00827264 0.0129739 0.0203411 0.0277829 0.0221826 0.0167962 0.0131941 0.0109621 
2.45153 0.00507272 0.00775924 0.0124145 0.0197549 0.0271045 0.0213917 0.0159119 0.0122303 0.0099221 0.00552403 0.00826208 0.0129716 0.0203692 0.0278413 0.022194 0.0167824 0.0131719 0.0109376 
2.47655 0.00506501 0.00775224 0.0124161 0.0197874 0.0271684 0.0214087 0.0159042 0.0122147 0.00990485 0.00551312 0.00825152 0.0129693 0.0203973 0.0279 0.0222053 0.0167686 0.0131496 0.0109131 
2.50156 0.0050573 0.00774521 0.0124177 0.0198199 0.0272323 0.0214256 0.0158964 0.0121991 0.00988759 0.00550223 0.00824094 0.0129669 0.0204255 0.0279588 0.0222166 0.0167547 0.0131274 0.0108887 
2.52658 0.00504958 0.00773814 0.0124191 0.0198524 0.0272965 0.0214424 0.0158886 0.0121835 0.00987033 0.00549135 0.00823035 0.0129645 0.0204537 0.0280177 0.0222278 0.0167407 0.0131052 0.0108643 
2.55159 0.00504186 0.00773103 0.0124205 0.0198848 0.0273607 0.0214591 0.0158806 0.0121678 0.00985308 0.00548049 0.00821975 0.0129621 0.0204818 0.0280768 0.0222389 0.0167267 0.0130829 0.01084 
2.57661 0.00503412 0.00772388 0.0124219 0.0199172 0.027425 0.0214757 0.0158726 0.0121521 0.00983582 0.00546964 0.00820914 0.0129595 0.02051 0.0281361 0.0222499 0.0167127 0.0130607 0.0108157 
2.60163 0.00502638 0.0077167 0.0124231 0.0199496 0.0274895 0.0214922 0.0158644 0.0121363 0.00981856 0.00545881 0.00819851 0.012957 0.0205382 0.0281955 0.0222609 0.0166986 0.0130385 0.0107915 
2.62664 0.00501863 0.00770949 0.0124242 0.0199819 0.0275541 0.0215085 0.0158562 0.0121205 0.0098013 0.00544799 0.00818788 0.0129543 0.0205663 0.0282551 0.0222718 0.0166844 0.0130164 0.0107674 
2.65166 0.00501087 0.00770223 0.0124253 0.0200142 0.0276188 0.0215247 0.0158479 0.0121047 0.00978405 0.0054372 0.00817724 0.0129516 0.0205945 0.0283149 0.0222826 0.0166702 0.0129942 0.0107433 
2.67667 0.00500311 0.00769494 0.0124263 0.0200465 0.0276836 0.0215408 0.0158394 0.0120888 0.00976679 0.00542641 0.00816658 0.0129489 0.0206227 0.0283748 0.0222934 0.016656 0.012972 0.0107192 
2.70169 0.00499533 0.00768761 0.0124272 0.0200788 0.0277486 0.0215568 0.0158309 0.0120729 0.00974953 0.00541564 0.00815592 0.0129461 0.0206509 0.0284348 0.022304 0.0166417 0.0129499 0.0106952 
2.7267 0.00498755 0.00768025 0.012428 0.020111 0.0278136 0.0215727 0.0158223 0.012057 0.00973228 0.00540489 0.00814524 0.0129432 0.020679 0.028495 0.0223146 0.0166273 0.0129277 0.0106713 
2.75172 0.00497977 0.00767285 0.0124288 0.0201432 0.0278788 0.0215884 0.0158136 0.012041 0.00971503 0.00539415 0.00813456 0.0129403 0.0207072 0.0285553 0.0223251 0.0166129 0.0129056 0.0106474 
