K 18F 18.2F 18.4F 18.6F 18.8F 19F 19.2F 19.4F 19.6F 19.8F 20F 20.2F 20.4F 20.6F 20.8F 21F 21.2F 21.4F 21.6F 21.8F 22F 22.2F 22.4F 22.6F 22.8F 23F 23.2F 23.4F 23.6F 23.8F 24F 24.2F 24.4F 24.6F 24.8F 25F 25.2F 25.4F 25.6F 25.8F 26F 26.2F 26.4F 26.6F 26.8F 27F 27.2F 
1.76353 0.902517 0.910449 0.919146 0.928687 0.939152 0.950627 0.963192 0.976924 0.991795 0.999777 0.996277 0.980606 0.951377 0.906967 0.845823 0.766759 0.669327 0.554235 0.423792 0.282383 0.137157 0.0105005 0.0730599 0.231541 0.375303 0.51025 0.631118 0.734926 0.82045 0.887777 0.937873 0.972199 0.992366 0.999889 0.99577 0.981743 0.96758 0.95461 0.942759 0.931948 0.922093 0.913111 0.904922 0.897452 0.890631 0.884398 0.878693 
1.84369 0.897999 0.906219 0.91524 0.925143 0.936016 0.94795 0.961033 0.975349 0.990876 0.999595 0.996897 0.98206 0.953655 0.910001 0.849474 0.770812 0.67349 0.558158 0.427106 0.284756 0.138362 0.0105945 0.0737078 0.233523 0.378321 0.514 0.635237 0.739051 0.824266 0.891041 0.94042 0.973938 0.993268 0.999972 0.99509 0.980378 0.965608 0.952097 0.939768 0.928531 0.918298 0.90898 0.900492 0.892754 0.885695 0.879246 0.873348 
1.92385 0.893476 0.901978 0.911314 0.921573 0.932848 0.945235 0.95883 0.973723 0.989903 0.999358 0.997463 0.983466 0.955894 0.913007 0.853113 0.774868 0.67767 0.562108 0.430451 0.287155 0.139582 0.0106896 0.0743637 0.235528 0.38137 0.51778 0.639377 0.743184 0.828076 0.894282 0.942931 0.975631 0.994117 1 0.994356 0.978962 0.963589 0.949544 0.936742 0.925087 0.914483 0.904835 0.896054 0.888055 0.880762 0.874104 0.868019 
2.00401 0.888947 0.897724 0.90737 0.917979 0.929648 0.942482 0.956583 0.972049 0.988876 0.999066 0.997975 0.984822 0.95809 0.915984 0.856737 0.778926 0.681867 0.566087 0.433827 0.28958 0.140816 0.0107859 0.0750277 0.237555 0.384448 0.52159 0.643539 0.747325 0.831876 0.8975 0.945405 0.977276 0.994913 0.999973 0.993567 0.977496 0.961524 0.946951 0.933682 0.921616 0.910647 0.900677 0.891609 0.883355 0.875834 0.868973 0.862704 
2.08417 0.884413 0.893459 0.903408 0.914359 0.926417 0.93969 0.954291 0.970324 0.987796 0.998717 0.998431 0.986127 0.960244 0.91893 0.860346 0.782985 0.68608 0.570092 0.437234 0.292031 0.142065 0.0108834 0.0756997 0.239606 0.387557 0.525428 0.647721 0.751473 0.835667 0.900691 0.947839 0.978873 0.995654 0.999889 0.992723 0.975978 0.959413 0.944318 0.930589 0.918117 0.906791 0.896504 0.887156 0.878653 0.87091 0.863851 0.857405 
2.16433 0.879873 0.889182 0.899428 0.910715 0.923154 0.936861 0.951955 0.96855 0.986661 0.998311 0.998831 0.987379 0.962353 0.921844 0.863938 0.787043 0.690309 0.574123 0.440671 0.294509 0.143329 0.0109821 0.0763799 0.241679 0.390695 0.529296 0.651923 0.755626 0.839447 0.903856 0.950233 0.98042 0.99634 0.999749 0.991823 0.974409 0.957256 0.941644 0.927462 0.914592 0.902915 0.892318 0.882696 0.87395 0.865991 0.858739 0.852121 
2.24449 0.875329 0.884894 0.89543 0.907047 0.91986 0.933994 0.949575 0.966726 0.985471 0.997847 0.999173 0.988577 0.964417 0.924724 0.867511 0.7911 0.694551 0.57818 0.444139 0.297013 0.144608 0.011082 0.0770684 0.243776 0.393864 0.533192 0.656143 0.759784 0.843214 0.906992 0.952586 0.981915 0.99697 0.999551 0.990868 0.972788 0.955053 0.938931 0.924303 0.91104 0.899019 0.888119 0.878229 0.869246 0.861077 0.853638 0.846853 
2.32465 0.87078 0.880595 0.891416 0.903355 0.916536 0.93109 0.947151 0.964852 0.984227 0.997326 0.999457 0.989722 0.966434 0.927569 0.871064 0.795154 0.698807 0.582263 0.447637 0.299544 0.145903 0.0111831 0.0777651 0.245896 0.397063 0.537116 0.660382 0.763944 0.846967 0.910097 0.954895 0.983359 0.997543 0.999294 0.989857 0.971115 0.952804 0.936179 0.92111 0.907462 0.895104 0.883907 0.873756 0.864543 0.856169 0.848548 0.841601 
2.40481 0.866227 0.876286 0.887384 0.899639 0.913181 0.928148 0.944683 0.962928 0.982927 0.996746 0.999683 0.99081 0.968403 0.930377 0.874597 0.799204 0.703075 0.58637 0.451166 0.302101 0.147212 0.0112855 0.0784701 0.248039 0.400291 0.541067 0.664639 0.768106 0.850705 0.913172 0.957159 0.984749 0.998058 0.998979 0.988789 0.969392 0.950509 0.933387 0.917885 0.903859 0.89117 0.879683 0.869277 0.859839 0.851266 0.843469 0.836365 
2.48497 0.86167 0.871968 0.883336 0.895901 0.909796 0.92517 0.942171 0.960954 0.981572 0.996108 0.999849 0.991842 0.970322 0.933148 0.878106 0.803249 0.707355 0.590502 0.454724 0.304685 0.148536 0.0113891 0.0791835 0.250205 0.40355 0.545046 0.668912 0.772269 0.854426 0.916213 0.959378 0.986084 0.998513 0.998605 0.987665 0.967616 0.948169 0.930556 0.914628 0.900231 0.887217 0.875448 0.864793 0.855135 0.84637 0.838401 0.831145 
