K 21F 21.1F 21.2F 21.3F 21.4F 21.5F 21.6F 21.7F 21.8F 21.9F 22F 22.1F 22.2F 22.3F 22.4F 22.5F 22.6F 22.7F 22.8F 22.9F 
3.04609 0.831301 0.787397 0.737549 0.681733 0.620057 0.552805 0.480454 0.403708 0.323524 0.241169 0.158243 0.0595393 0.0121502 0.0205516 0.0844178 0.183083 0.266035 0.347904 0.427188 0.502723 
3.12625 0.835256 0.791586 0.741884 0.68611 0.624362 0.556916 0.484245 0.407058 0.326323 0.243326 0.159693 0.0600936 0.0122641 0.0207441 0.0852006 0.18475 0.268392 0.350879 0.430682 0.506622 
3.20641 0.839194 0.795769 0.746222 0.690499 0.628686 0.561051 0.488065 0.410437 0.329149 0.245505 0.161159 0.0606543 0.0123794 0.0209389 0.0859924 0.186435 0.270773 0.353882 0.434205 0.510548 
3.28657 0.843113 0.799943 0.750561 0.694898 0.633028 0.56521 0.491912 0.413845 0.332002 0.247707 0.162642 0.0612215 0.012496 0.0211359 0.0867933 0.188139 0.273179 0.356912 0.437757 0.514502 
3.36673 0.847012 0.804107 0.754899 0.699306 0.637387 0.569393 0.495786 0.417282 0.334883 0.249932 0.16414 0.0617951 0.012614 0.0213352 0.0876033 0.189861 0.27561 0.359971 0.441338 0.518482 
3.44689 0.850891 0.80826 0.759237 0.703723 0.641764 0.573599 0.499688 0.420748 0.337791 0.25218 0.165656 0.0623754 0.0127334 0.0215368 0.0884225 0.191601 0.278065 0.363058 0.444947 0.522489 
3.52705 0.854747 0.8124 0.763573 0.708147 0.646156 0.577828 0.503617 0.424242 0.340726 0.254451 0.167188 0.0629623 0.0128541 0.0217407 0.0892509 0.193361 0.280545 0.366172 0.448585 0.526521 
3.60721 0.858579 0.816528 0.767905 0.712578 0.650564 0.58208 0.507573 0.427765 0.343689 0.256746 0.168737 0.0635558 0.0129763 0.021947 0.0900886 0.195139 0.283049 0.369315 0.452252 0.53058 
3.68737 0.862386 0.82064 0.772234 0.717015 0.654986 0.586353 0.511556 0.431317 0.346678 0.259064 0.170302 0.0641561 0.0130998 0.0221557 0.0909358 0.196937 0.285578 0.372486 0.455946 0.534664 
3.76754 0.866166 0.824736 0.776556 0.721456 0.659422 0.590647 0.515564 0.434897 0.349696 0.261405 0.171885 0.0647632 0.0132248 0.0223668 0.0917924 0.198753 0.288132 0.375685 0.459669 0.538773 
3.8477 0.869919 0.828815 0.780872 0.725902 0.663871 0.594962 0.519599 0.438505 0.35274 0.26377 0.173485 0.0653771 0.0133513 0.0225803 0.0926586 0.200589 0.290712 0.378912 0.463419 0.542906 
3.92786 0.873642 0.832875 0.78518 0.730349 0.668333 0.599297 0.523659 0.442141 0.355813 0.266158 0.175101 0.0659979 0.0134791 0.0227962 0.0935344 0.202444 0.293316 0.382166 0.467198 0.547064 
4.00802 0.877335 0.836915 0.789479 0.734799 0.672806 0.603651 0.527744 0.445805 0.358912 0.268571 0.176736 0.0666256 0.0136085 0.0230146 0.09442 0.204319 0.295946 0.385449 0.471003 0.551245 
4.08818 0.880997 0.840934 0.793768 0.739249 0.677289 0.608025 0.531855 0.449497 0.36204 0.271007 0.178387 0.0672604 0.0137393 0.0232355 0.0953153 0.206213 0.2986 0.38876 0.474836 0.55545 
4.16834 0.884625 0.844931 0.798045 0.743698 0.681783 0.612417 0.535989 0.453217 0.365194 0.273467 0.180056 0.0679022 0.0138716 0.0234589 0.0962204 0.208127 0.301281 0.392099 0.478697 0.559678 
4.2485 0.888218 0.848903 0.80231 0.748147 0.686285 0.616827 0.540148 0.456964 0.368377 0.275951 0.181743 0.0685512 0.0140054 0.0236848 0.0971356 0.210061 0.303986 0.395465 0.482584 0.563929 
4.32866 0.891776 0.85285 0.806561 0.752592 0.690795 0.621253 0.544331 0.460739 0.371586 0.278459 0.183448 0.0692074 0.0141407 0.0239132 0.0980607 0.212015 0.306717 0.39886 0.486497 0.568202 
4.40882 0.895297 0.856771 0.810797 0.757034 0.695313 0.625697 0.548538 0.464541 0.374824 0.280992 0.18517 0.0698708 0.0142775 0.0241443 0.0989959 0.213989 0.309474 0.402282 0.490438 0.572496 
4.48898 0.898779 0.860665 0.815016 0.761472 0.699837 0.630156 0.552767 0.46837 0.378089 0.283549 0.186911 0.0705415 0.0144159 0.0243779 0.0999414 0.215983 0.312257 0.405732 0.494404 0.576811 
4.56914 0.902222 0.864529 0.819218 0.765904 0.704366 0.63463 0.557019 0.472226 0.381381 0.286131 0.18867 0.0712196 0.0145559 0.0246141 0.100897 0.217998 0.315065 0.40921 0.498396 0.581148 
4.6493 0.905624 0.868362 0.823401 0.770328 0.7089 0.639119 0.561293 0.476108 0.384701 0.288737 0.190447 0.0719052 0.0146974 0.024853 0.101863 0.220033 0.317899 0.412716 0.502414 0.585504 
4.72946 0.908983 0.872164 0.827564 0.774745 0.713438 0.643622 0.565589 0.480017 0.388048 0.291368 0.192242 0.0725982 0.0148405 0.0250946 0.10284 0.222089 0.320759 0.416249 0.506458 0.58988 
4.80962 0.912299 0.875934 0.831706 0.779153 0.717978 0.648138 0.569906 0.483953 0.391423 0.294023 0.194056 0.0732989 0.0149852 0.0253388 0.103827 0.224165 0.323645 0.41981 0.510526 0.594275 
4.88978 0.91557 0.879668 0.835826 0.78355 0.72252 0.652666 0.574243 0.487914 0.394825 0.296704 0.195889 0.0740071 0.0151315 0.0255858 0.104824 0.226262 0.326557 0.423398 0.51462 0.598689 
4.96994 0.918794 0.883368 0.839921 0.787936 0.727062 0.657206 0.578602 0.491901 0.398255 0.299409 0.19774 0.0747231 0.0152795 0.0258355 0.105833 0.22838 0.329496 0.427013 0.518738 0.60312 
5.0501 0.921972 0.88703 0.843991 0.792309 0.731604 0.661757 0.58298 0.495914 0.401712 0.30214 0.19961 0.0754468 0.0154291 0.026088 0.106852 0.23052 0.33246 0.430656 0.52288 0.607569 
5.13026 0.925101 0.890654 0.848035 0.796669 0.736145 0.666317 0.587377 0.499952 0.405197 0.304895 0.2015 0.0761784 0.0155804 0.0263432 0.107882 0.23268 0.335451 0.434326 0.527046 0.612035 
5.21042 0.92818 0.894239 0.852052 0.801013 0.740683 0.670887 0.591793 0.504015 0.408709 0.307676 0.203408 0.0769178 0.0157333 0.0266013 0.108923 0.234862 0.338468 0.438023 0.531236 0.616517 
5.29058 0.931209 0.897783 0.856039 0.805341 0.745219 0.675466 0.596227 0.508103 0.412248 0.310482 0.205336 0.0776653 0.015888 0.0268623 0.109975 0.237066 0.341511 0.441747 0.535449 0.621015 
