T 18F 19F 20F 21F 21.5F 22F 22.2F 22.24F 22.3F 22.4F 22.5F 23F 24F 25F 26F 27F 18000F 19000F 20000F 21000F 21500F 22000F 22200F 22240F 22300F 22400F 22500F 23000F 24000F 25000F 26000F 27000F 
0.700438 0.0022337 0.00325973 0.00484507 0.00698771 0.00806079 0.00888674 0.0091032 0.00913731 0.00918252 0.00924181 0.00928086 0.00918484 0.00798623 0.00648331 0.00528394 0.00444634 0.0168875 0.0239556 0.0347648 0.0493017 0.0565864 0.0622268 0.0637243 0.0639627 0.0642806 0.0647034 0.0649914 0.0644914 0.0567902 0.0470726 0.039391 0.0341335 
0.725453 0.00223097 0.00325808 0.00484772 0.00700057 0.00808009 0.00891088 0.00912827 0.00916248 0.00920779 0.00926709 0.00930597 0.00920657 0.00799539 0.00648293 0.00527903 0.00443966 0.0168547 0.0239284 0.0347645 0.0493676 0.0566944 0.062366 0.0638693 0.0641082 0.0644267 0.0648493 0.065136 0.0646124 0.0568253 0.047042 0.0393279 0.0340562 
0.750469 0.00222822 0.00325641 0.00485035 0.00701344 0.00809945 0.00893511 0.00915344 0.00918775 0.00923316 0.00929247 0.00933117 0.00922835 0.00800452 0.0064825 0.00527409 0.00443298 0.0168219 0.0239011 0.0347642 0.0494337 0.0568028 0.0625059 0.0640151 0.0642547 0.0645736 0.0649962 0.0652814 0.0647341 0.0568605 0.0470113 0.0392648 0.0339792 
0.775485 0.00222548 0.00325472 0.00485296 0.00702633 0.00811886 0.00895942 0.00917871 0.00921312 0.00925862 0.00931794 0.00935646 0.00925019 0.00801363 0.00648204 0.00526913 0.00442629 0.0167893 0.0238739 0.0347639 0.0495001 0.0569117 0.0626466 0.0641617 0.0644019 0.0647214 0.0651438 0.0654276 0.0648563 0.0568958 0.0469805 0.0392019 0.0339023 
0.8005 0.00222272 0.00325302 0.00485555 0.00703922 0.00813833 0.00898383 0.00920407 0.00923858 0.00928418 0.00934351 0.00938185 0.0092721 0.00802272 0.00648155 0.00526416 0.00441959 0.0167567 0.0238467 0.0347636 0.0495667 0.0570212 0.0627881 0.0643092 0.0645499 0.0648699 0.0652922 0.0655746 0.0649791 0.0569311 0.0469498 0.039139 0.0338256 
0.825516 0.00221996 0.0032513 0.00485811 0.00705213 0.00815785 0.00900833 0.00922953 0.00926414 0.00930984 0.00936918 0.00940733 0.00929406 0.00803179 0.00648102 0.00525916 0.00441289 0.0167242 0.0238195 0.0347632 0.0496336 0.0571312 0.0629303 0.0644574 0.0646988 0.0650193 0.0654414 0.0657224 0.0651024 0.0569665 0.046919 0.0390762 0.0337492 
0.850532 0.0022172 0.00324956 0.00486065 0.00706505 0.00817742 0.00903292 0.00925508 0.0092898 0.0093356 0.00939494 0.0094329 0.00931608 0.00804084 0.00648045 0.00525413 0.00440618 0.0166917 0.0237923 0.0347628 0.0497006 0.0572417 0.0630733 0.0646065 0.0648484 0.0651695 0.0655915 0.065871 0.0652263 0.0570019 0.0468882 0.0390135 0.033673 
0.875547 0.00221443 0.00324781 0.00486316 0.00707798 0.00819705 0.00905761 0.00928073 0.00931556 0.00936145 0.0094208 0.00945857 0.00933816 0.00804986 0.00647984 0.00524909 0.00439947 0.0166593 0.0237651 0.0347624 0.0497679 0.0573527 0.0632171 0.0647564 0.0649989 0.0653205 0.0657423 0.0660204 0.0653508 0.0570373 0.0468573 0.0389508 0.0335969 
0.900563 0.00221165 0.00324604 0.00486565 0.00709093 0.00821673 0.00908238 0.00930649 0.00934142 0.00938741 0.00944676 0.00948433 0.00936029 0.00805887 0.0064792 0.00524403 0.00439275 0.016627 0.0237379 0.034762 0.0498354 0.0574642 0.0633616 0.064907 0.0651502 0.0654724 0.065894 0.0661706 0.0654759 0.0570728 0.0468264 0.0388883 0.0335211 
0.925578 0.00220886 0.00324425 0.00486811 0.00710388 0.00823647 0.00910724 0.00933234 0.00936737 0.00941346 0.00947281 0.00951019 0.00938249 0.00806784 0.00647852 0.00523895 0.00438603 0.0165948 0.0237108 0.0347615 0.0499031 0.0575763 0.0635069 0.0650585 0.0653024 0.065625 0.0660465 0.0663216 0.0656015 0.0571083 0.0467955 0.0388258 0.0334454 
