T 18F 19F 20F 21F 23F 24F 25F 26F 27F 18000F 19000F 20000F 21000F 23000F 24000F 25000F 26000F 27000F 
1.1257 0.00564095 0.00826833 0.0124333 0.0182578 0.0241911 0.0206581 0.016517 0.013359 0.0112239 0.00700814 0.0102436 0.0153677 0.0225299 0.0298375 0.0255112 0.0204386 0.0165738 0.0139655 
1.15072 0.00563259 0.00826206 0.0124374 0.0182887 0.0242458 0.0206777 0.016512 0.0133431 0.0112042 0.00701382 0.0102591 0.0154073 0.0226185 0.0299718 0.0255927 0.0204787 0.0165919 0.0139731 
1.17573 0.00562422 0.00825576 0.0124413 0.0183196 0.0243007 0.0206973 0.0165069 0.0133273 0.0111844 0.00701963 0.0102748 0.0154472 0.0227079 0.0301075 0.025675 0.0205191 0.0166104 0.013981 
1.20075 0.00561585 0.00824943 0.0124452 0.0183505 0.0243558 0.0207168 0.0165018 0.0133114 0.0111646 0.00702558 0.0102907 0.0154876 0.0227982 0.0302444 0.0257581 0.0205601 0.0166293 0.0139891 
1.22577 0.00560747 0.00824307 0.0124491 0.0183815 0.024411 0.0207363 0.0164965 0.0132955 0.0111449 0.00703168 0.0103068 0.0155283 0.0228892 0.0303827 0.0258419 0.0206014 0.0166484 0.0139975 
1.25078 0.00559909 0.00823668 0.0124529 0.0184125 0.0244663 0.0207557 0.0164912 0.0132795 0.0111252 0.00703792 0.0103232 0.0155694 0.0229812 0.0305223 0.0259264 0.0206432 0.0166679 0.0140063 
1.2758 0.0055907 0.00823025 0.0124566 0.0184435 0.0245218 0.0207751 0.0164859 0.0132636 0.0111054 0.0070443 0.0103397 0.0156109 0.023074 0.0306633 0.0260117 0.0206855 0.0166878 0.0140153 
1.30081 0.00558231 0.0082238 0.0124603 0.0184745 0.0245775 0.0207944 0.0164804 0.0132475 0.0110857 0.00705083 0.0103564 0.0156527 0.0231676 0.0308056 0.0260978 0.0207282 0.016708 0.0140246 
1.32583 0.00557392 0.00821731 0.012464 0.0185056 0.0246333 0.0208136 0.0164749 0.0132315 0.011066 0.00705751 0.0103734 0.015695 0.0232621 0.0309494 0.0261847 0.0207714 0.0167285 0.0140343 
1.35084 0.00556552 0.00821079 0.0124675 0.0185367 0.0246893 0.0208328 0.0164693 0.0132154 0.0110463 0.00706433 0.0103906 0.0157377 0.0233575 0.0310946 0.0262724 0.020815 0.0167494 0.0140442 
1.37586 0.00555711 0.00820423 0.012471 0.0185678 0.0247454 0.0208519 0.0164636 0.0131993 0.0110266 0.00707131 0.010408 0.0157808 0.0234538 0.0312412 0.0263608 0.0208591 0.0167706 0.0140544 
1.40088 0.0055487 0.00819765 0.0124745 0.018599 0.0248017 0.020871 0.0164579 0.0131832 0.011007 0.00707843 0.0104257 0.0158243 0.023551 0.0313893 0.0264501 0.0209037 0.0167922 0.014065 
1.42589 0.00554029 0.00819103 0.0124779 0.0186301 0.0248582 0.02089 0.016452 0.013167 0.0109873 0.00708572 0.0104435 0.0158682 0.0236492 0.0315388 0.0265402 0.0209488 0.0168141 0.0140758 
1.45091 0.00553187 0.00818438 0.0124812 0.0186613 0.0249148 0.020909 0.0164461 0.0131508 0.0109677 0.00709315 0.0104616 0.0159125 0.0237482 0.0316898 0.0266312 0.0209944 0.0168364 0.014087 
